Recorded_taxa	Status	MinT	MaxT
Partschiceras_striatocostatum	extinct	191.84	192.9
Partschiceras_striatocostatum	extinct	191.84	192.9
Partschiceras_striatocostatum	extinct	188	192.9
Partschiceras_striatocostatum	extinct	188	192.9
Partschiceras_striatocostatum	extinct	188.4	192.9
Partschiceras_striatocostatum	extinct	188.4	192.9
Partschiceras_striatocostatum	extinct	189.5	190.2
Partschiceras_striatocostatum	extinct	188.8	189.5
Partschiceras_striatocostatum	extinct	188.4	190.54
Partschiceras_striatocostatum	extinct	192.9	196.37
Partschiceras_striatocostatum	extinct	192.9	195.22
Partschiceras_striatocostatum	extinct	195.22	196.37
Partschiceras_striatocostatum	extinct	192.9	194.44
Partschiceras_striatocostatum	extinct	192.9	194.44
Partschiceras_striatocostatum	extinct	185.55	188
Partschiceras_striatocostatum	extinct	185.55	188
Partschiceras_striatocostatum	extinct	183.16	185.55
Jamesonites?_spoliatus	extinct	190.78	191.84
Jamesonites?_spoliatus	extinct	190.54	190.78
Jamesonites?_spoliatus	extinct	190.54	190.78
Sinuiceras_planulatum	extinct	191.84	192.9
Foetterliceras_morogense	extinct	191.84	192.9
Foetterliceras_morogense	extinct	191.84	192.9
Foetterliceras_morogense	extinct	191.84	192.9
Epideroceras?_nodofissum	extinct	190.78	191.84
Epideroceras?_nodofissum	extinct	191.84	192.9
Epideroceras?_nodofissum	extinct	190.78	191.84
Epideroceras?_nodofissum	extinct	190.78	191.84
Epideroceras?_nodofissum	extinct	190.78	191.84
Cymbites_globosus	extinct	188.4	188.8
Cymbites_globosus	extinct	188	190.2
Eoderoceras?_lina	extinct	190.78	192.9
Cymbites_globosus	extinct	188	190.2
Cymbites_globosus	extinct	188.21	188.24
Cymbites_globosus	extinct	188.4	188.8
Cymbites_globosus	extinct	188.4	188.8
Cymbites_globosus	extinct	188	188.4
Cymbites_globosus	extinct	188.8	189.5
Cymbites_globosus	extinct	188	188.21
Cymbites_globosus	extinct	188	188.21
Cymbites_globosus	extinct	188	188.21
Cymbites_globosus	extinct	188.4	190.2
Cymbites_globosus	extinct	188	188.21
Cymbites_globosus	extinct	189.5	190.2
Cymbites_globosus	extinct	188.8	189.5
Paramicroderoceras_aff._birchiades	extinct	191.84	192.9
Paramicroderoceras_aff._birchiades	extinct	191.84	194.44
Paramicroderoceras_aff._birchiades	extinct	191.84	192.9
Paramicroderoceras_aff._birchiades	extinct	191.84	192.9
Paramicroderoceras_aff._birchiades	extinct	191.84	192.9
Paramicroderoceras_aff._birchiades	extinct	191.84	192.9
Paramicroderoceras_aff._birchiades	extinct	192.9	194.44
Dayiceras_splendens	extinct	188.8	189.5
Metaderoceras_pseudomuticum	extinct	190.2	191.84
Tropidoceras_stahliforme	extinct	188.4	190.2
Capreoliceras_asagensis	extinct	190.2	191.84
Capreoliceras_asagensis	extinct	190.2	191.84
